Time ALE BLT SSP DSP LWF RDG YPH WAE RSM CHK CHO STH LKT BBT COP CLA BYT MYS ROT PRO PB BB AMP CHI DIP OLI GRN PIC MA DL DR DC DIN RelALE RelBLT RelSSP RelDSP RelLWF RelRDG RelYPH RelWAE RelRSM RelCHK RelCHO RelSTH RelLKT RelBBT RelCOP RelCLA RelBYT RelMYS RelROT RelPRO RelPB RelBB RelAMP RelCHI RelDIP RelOLI RelGRN RelPIC RelMA RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+000 142669.300600 228646.802345 9652.600000 42383.769780 26420.495602 579.920592 2615.004304 734.060000 59302.742204 7275.912160 1015.091259 6471.814673 5427.586354 18322.011742 1508922.249056 332228.914328 9931.398138 164005.376690 67391.630305 130526.947155 1905872.131347 771609.834352 47151.709509 37249.850512 979146.505634 586449.387023 253693.416859 203816.798616 5200.535705 312289.003230 312289.003230 0.000000 180486629.244492 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -734.252719 3.679412
1.000000e+002 150071.443780 227565.849027 10894.190737 38815.403892 28419.243823 792.736831 2652.303874 561.555988 54565.437604 8365.862768 1052.973009 7062.501570 5286.801452 15535.903276 1393216.226631 276500.306022 7653.039881 172254.435188 66890.211489 139274.701249 13090722.789325 1124035.435959 47236.353840 35430.207796 874827.643150 550964.604685 148014.614307 57152.343486 2244925.629126 677097.588101 312860.209044 0.000000 172049602.759241 1.051883 0.995272 1.128628 0.915808 1.075651 1.366975 1.014264 0.765000 0.920117 1.149803 1.037319 1.091271 0.974061 0.847937 0.923319 0.832258 0.770590 1.050297 0.992560 1.067019 6.868626 1.456741 1.001795 0.951150 0.893459 0.939492 0.583439 0.280410 431.671996 2.168176 1.001829 1.000000 0.953254 0.500586 1.736920 24.382353 26453528740.864120 -974.491724 0.396926
2.000000e+002 188821.428067 295767.329845 12485.519329 46161.423210 36610.907153 981.819467 2811.692949 642.606677 50097.529986 11726.012392 1286.578473 7564.304488 4142.981130 18540.786288 1959971.469696 509850.484661 5813.517638 220110.393839 55090.986424 667845.254694 10089948.740085 1443629.978067 49920.554439 33456.216528 718504.164337 514628.697027 2541803.029546 12322.140827 1691440.459787 1177509.029142 296869.831858 0.000000 175176019.053382 1.323490 1.293556 1.293488 1.089130 1.385701 1.693024 1.075215 0.875414 0.844776 1.611621 1.267451 1.168807 0.763319 1.011941 1.298921 1.534636 0.585367 1.342093 0.817475 5.116532 5.294137 1.870933 1.058722 0.898157 0.733807 0.877533 10.019192 0.060457 325.243505 3.770575 0.950625 1.000000 0.970576 0.372643 2.176866 26.647059 24317660378.976135 -1449.825224 0.205243
3.000000e+002 327394.415892 327310.253794 24144.227055 53660.922772 64725.524490 1253.023279 3573.675148 780.206446 49531.604180 8021.398589 553.885210 8550.623745 2644.600189 20566.869584 1916273.959521 668759.919418 17188.192832 329113.143973 35367.733517 1100799.445268 8704279.357604 1605335.424812 57071.801845 31404.153137 620041.449816 478462.274017 1959334.905039 1535.623777 1396774.731411 1429199.289233 304413.823006 0.000000 173816677.212390 2.294778 1.431510 2.501319 1.266072 2.449822 2.160681 1.366604 1.062865 0.835233 1.102460 0.545651 1.321210 0.487252 1.122522 1.269962 2.012949 1.730692 2.006722 0.524809 8.433503 4.567085 2.080502 1.210387 0.843068 0.633247 0.815863 7.723239 0.007534 268.582856 4.576528 0.974782 1.000000 0.963045 0.368399 3.907832 26.617647 21995137398.757854 -3736.357042 0.529341
3.650000e+002 391792.525980 339948.070881 23644.805739 50728.433892 65105.871708 1387.932742 4016.886606 913.438079 49450.898692 10854.380920 600.669644 9465.945322 2568.379520 22739.883776 1846145.447364 631284.451695 17838.144823 399667.020460 31799.753948 1648424.384403 8480898.088406 1633598.490231 62706.780062 30094.111727 564193.309779 455491.994053 1975939.867688 445.962345 782611.620310 1559921.298202 257364.729091 0.000000 172242331.784096 2.746159 1.486783 2.449579 1.196883 2.464218 2.393315 1.536092 1.244364 0.833872 1.491824 0.591740 1.462642 0.473208 1.241124 1.223486 1.900149 1.796136 2.436914 0.471865 12.628997 4.449878 2.117130 1.329894 0.807899 0.576209 0.776694 7.788692 0.002188 150.486731 4.995121 0.824124 1.000000 0.954322 710978019438203730000000.000000 1.291676 22.764706 20601555852.894733 -3662.810244 0.324632
4.000000e+002 402583.799187 293726.663853 24155.003150 51608.099206 68345.732827 1483.915651 4094.322644 962.639842 48838.184781 12315.468061 616.700416 9869.406688 2547.775675 18070.552888 1753977.106304 555294.442884 17142.263181 370997.761745 31541.066111 1874340.807369 8536173.685000 1659555.273122 64661.765869 29489.346581 544233.758250 445890.182092 1729736.279064 277.330131 438379.458104 1654589.553935 220201.895010 0.000000 171983375.655028 2.821797 1.284631 2.502435 1.217638 2.586845 2.558826 1.565704 1.311391 0.823540 1.692636 0.607532 1.524983 0.469412 0.986276 1.162404 1.671421 1.726067 2.262107 0.468026 14.359800 4.478881 2.150770 1.371356 0.791663 0.555825 0.760322 6.818215 0.001361 84.295058 5.298264 0.705122 1.000000 0.952887 727948303819841250000000.000000 1.240940 22.705882 19671186637.545200 -3755.056636 0.165129
5.000000e+002 373784.361394 351335.445322 26625.003154 61417.714206 70932.996182 1527.788822 4091.590360 808.507828 42523.155005 18091.253444 708.507203 10493.150587 2514.221380 21375.907042 1527000.046177 380846.148764 7274.397023 296335.359274 31301.840860 2144966.444108 8818471.699674 1764141.625910 69166.677346 27460.337331 469517.199114 425131.943243 1182809.276428 79.074794 1013846.886273 1899284.771111 178712.198560 0.000000 172151151.935611 2.619935 1.536586 2.758325 1.449086 2.684772 2.634479 1.564659 1.101419 0.717052 2.486458 0.697974 1.621361 0.463230 1.166679 1.011981 1.146337 0.732465 1.806864 0.464477 16.433131 4.627001 2.286313 1.466896 0.737193 0.479517 0.724925 4.662357 0.000388 194.950471 6.081818 0.572265 1.000000 0.953817 0.496631 2.376306 24.176471 17809766458.343407 -4190.141988 0.322166
6.000000e+002 386265.899200 427147.695525 29862.177019 74759.007611 84022.256283 1731.866335 4868.153198 1100.711100 39831.170513 28560.196844 812.884022 13448.663732 4246.447610 25908.831755 1590838.354883 524826.546256 20322.302112 324953.274172 32766.070734 931829.423020 6604099.388752 1885895.924425 89658.301795 25308.846423 414493.406276 404990.255232 2768251.515513 15.000526 784373.276713 1921326.228028 257168.730964 0.000000 175835825.128255 2.707421 1.868155 3.093693 1.763859 3.180192 2.986385 1.861623 1.499484 0.671658 3.925308 0.800799 2.078036 0.782382 1.414082 1.054288 1.579714 2.046268 1.981357 0.486204 7.138981 3.465132 2.444106 1.901486 0.679435 0.423321 0.690580 10.911799 0.000074 150.825477 6.152398 0.823496 1.000000 0.974232 0.340785 2.072618 26.500000 16833202160.074694 -4451.682420 0.085953
7.000000e+002 421170.215249 329976.629946 33048.960422 76710.429617 68695.439224 1743.640907 2595.235310 1364.565839 32387.593835 22834.595123 577.717953 15893.916054 3395.595402 29156.561969 1426299.385808 462359.699009 8906.065590 407388.357993 40287.436836 932924.599525 6216800.152927 1880907.994964 124338.509250 23674.738320 381453.703725 384330.619833 2318157.351081 5.861343 364157.543359 1894005.163919 267867.293416 0.000000 176085374.322111 2.952073 1.443172 3.423840 1.809901 2.600081 3.006689 0.992440 1.858930 0.546140 3.138382 0.569129 2.455867 0.625618 1.591341 0.945244 1.391690 0.896758 2.483994 0.597811 7.147372 3.261919 2.437641 2.636988 0.635566 0.389578 0.655352 9.137633 0.000029 70.023083 6.064911 0.857754 1.000000 0.975615 0.395052 2.555382 26.529412 16136187887.891323 -5153.371261 0.043793
7.300000e+002 413852.638290 327516.711018 32570.706997 73623.195557 69120.370402 1732.916911 2439.907773 1467.548692 31334.690689 25359.315652 591.733089 16757.679881 3410.119496 30530.427875 1345104.816889 403810.591878 6393.571380 406940.469316 39802.889331 958660.219416 6220970.924470 1879296.935403 130054.184021 23272.112420 372398.274220 378350.304324 2058223.661102 5.152817 222000.875268 1929131.553245 232745.228031 0.000000 176245012.898489 2.900783 1.432413 3.374294 1.737061 2.616165 2.988197 0.933042 1.999222 0.528385 3.485380 0.582936 2.589332 0.628294 1.666325 0.891434 1.215459 0.643774 2.481263 0.590621 7.344539 3.264107 2.435553 2.758207 0.624757 0.380329 0.645154 8.113035 0.000025 42.688078 6.177392 0.745288 1.000000 0.976499 526823121051742530000000.000000 0.790452 22.705882 18812927735.969536 -5067.732902 0.026949
